Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bolivia,414,413,376,334,279,252,313,405,398,832,954,924,1008,874,879,874,882,621,576,606,766,426,417,396,258,182,182,142,153,160,167,156,148,140,153,173,176,163,176,172
Brazil,1050,1005,877,965,1015,1234,1107,1330,910,957,1461,1415,1515,1363,1256,1472,1331,1165,1165,1146,1135,1467,1848,2221,2658,1613,1684,1618,1715,1625,1513,1605,1665,1848,1549,1599,1448,1483,1783,1743
Chile,111781,105333,106306,110408,115925,125042,115017,121195,131054,134674,130398,132194,126086,130255,135882,139597,143199,147250,155230,155252,159794,160943,164551,168226,172000,175000,200000,244375,248680,202026,202347,205187,212595,215179,224651,243000,252000,260000,268000,266499
Colombia,2850000,3000000,3050000,3250000,3420000,3480000,3600000,3690000,4050000,4225000,4115000,4510800,4715500,4806900,5136000,5710200,6186900,5921500,5794300,6413300,6578800,6823600,7139000,7230000,7774000,8592000,9020000,9303000,9024000,8935000,9115000,9030000,9307000,9675000,9723000,9425000,9284000,9550000,9900000,10200000
Costa Rica,162267,184624,194566,208125,196832,174832,177112,174617,196816,221379,242452,229790,199972,224099,239615,257792,259488,262105,256343,226361,226363,217640,199957,191784,208258,215584,237553,241677,240257,209853,210744,190979,197459,206200,224112,225261,215023,203104,199314,208313
Cuba,593223,624254,587004,553055,587889,585859,580541,569390,622408,691676,746107,701007,594586,602550,646274,702334,730034,762988,766000,716000,745000,700000,675000,642242,717288,792168,827220,856261,917368,810068,766591,820985,854232,856232,837384,854314,796544,761375,771324,769960
Dominican Republic,76500,80000,66000,67000,76790,93500,92000,97007,86000,85507,87481,93962,80908,81898,95454,93587,96417,86142,82033,84442,82268,74348,68312,74104,70021,80741,75341,80847,87524,94592,97486,95999,87520,85033,88196,82008,72975,77994,81195,88595
Dominica,146500,143000,140989,142128,141846,142298,147519,140098,141472,138185,136200,90400,76809,65501,63755,67306,71900,70550,74061,76200,75774,74953,65815,56150,55250,59900,55650,54050,61950,65000,63500,66500,67050,66900,71350,75600,83800,83550,82322,81366
Ecuador,216,225,234,252,281,320,360,450,467,509,495,486,486,484,482,482,522,522,522,540,540,540,540,540,540,540,540,540,540,540,540,558,576,567,559,551,551,554,556,558
El Salvador,49442,51619,54137,56254,53545,63308,64484,66640,78737,81099,82478,55838,58242,59966,66860,69899,73982,56836,61190,65500,68965,70789,71692,72167,72893,71986,84233,101097,99278,101759,112954,102035,95861,100654,78654,95290,92635,58034,63391,64300
프랑스령기아나,73730,75870,78390,81200,82990,88500,89600,92443,102290,97890,100007,113274,113208,126038,127498,148663,153324,155611,158202,164280,170615,187544,202646,205518,206532,208834,210500,233124,248050,265200,260000,268000,265000,260500,231570,214788,212145,217963,213699,229441
Grenada,27646,22103,22241,21917,22039,20961,21698,18814,22284,28123,27212,23525,22074,24747,27087,29350,27059,35094,34425,34150,34749,34654,39944,29234,26499,26978,30562,31258,32137,31097,32992,23377,26023,18412,18630,18578,18697,18315,17544,15339
과들루프,480,460,420,510,380,460,540,540,510,550,570,520,450,385,350,320,360,359,335,365,371,306,286,241,215,272,295,-,-,-,-,-,-,-,-,-,-,-,-,-
Guatemala,155,140,130,124,135,128,130,130,120,120,120,120,125,125,130,135,135,135,135,138,138,141,141,143,143,143,140,154,160,140,140,140,140,137,137,138,139,139,139,139
Guyana,4163,3894,4029,4480,4249,4001,3947,3227,3178,3080,3010,2840,2860,3139,3218,3363,3217,3420,3396,3345,3337,3280,2845,2807,2726,2676,2647,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,52384,52793,46704,50989,50438,49477,37366,48039,54725,68153,66613,51729,40503,48148,51790,53767,54146,54428,54474,61939,62000,62000,63000,63000,63000,63000,65000,68934,74186,93375,105596,118715,136056,144576,175212,181360,185900,174200,175960,179904
Honduras,2268,2087,2270,2213,1607,1669,1679,1829,2100,2439,2200,3021,4200,3840,4600,3800,2900,2100,2100,1800,1900,2000,1530,1750,1882,2028,2107,2160,2131,2110,2260,2153,1635,2262,2667,2282,2036,1979,2128,2828
Jamaica,24400,27000,29700,30600,31500,31500,30400,29000,28000,27000,24000,25000,27000,28800,27840,23940,28000,28000,30800,31000,40300,40500,42000,42500,42730,43500,43500,43500,43500,43500,45000,45500,46500,46500,45906,46588,46775,46856,47293,47732
마르티니크,63256,60349,46060,34887,34498,35072,27331,45000,46000,46000,46000,45060,44400,44500,72688,64164,67831,63422,57080,54711,55000,55295,54462,61372,63571,65744,67600,70907,74376,55840,58593,64987,62265,63000,63259,63668,64709,65342,65616,65188
Nicaragua,12034,11812,12215,14057,14524,13540,14592,13894,13610,13425,15024,16053,18208,15639,15793,16686,15643,14538,14253,14688,14041,13096,14260,13714,10751,10390,6034,5539,5994,5426,5264,5621,5800,5600,6196,7523,7712,6695,6813,7118
Panama,2600,2600,2900,2900,3000,3100,3000,2800,2500,2433,2600,2500,2500,2300,2250,2250,2572,2288,2360,2287,1947,1750,1842,1600,1700,1647,1626,-,-,-,-,-,-,-,-,-,-,-,-,-
Paraguay,56335,43000,51888,53038,51428,45264,37260,30360,33212,49765,57286,45080,47748,52471,51296,49055,49818,51879,45831,46000,52500,54077,60145,65558,74844,75983,84620,92782,96080,107587,121040,128603,115121,120687,122063,115216,114368,147749,136940,134612
Peru,43170,47950,55130,55640,57122,59297,59488,57852,54268,57201,64248,61340,60894,62296,59795,61015,65642,71442,75500,71459,69568,67313,65067,60539,63597,65575,67063,65400,67974,74558,79280,86302,91677,84897,82938,80899,71071,70079,70397,67393
Puerto Rico,107000,105000,104400,106000,112115,114777,117810,101484,131310,172000,189000,219000,233000,225000,189217,191187,198815,216709,223210,214594,231075,230884,233632,228960,215000,248679,300000,264829,293500,312000,343000,348000,302399,384378,467288,444668,468000,530492,489400,481693
